Player1,Player2,Result,FNL1,FNL2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,BPC.1,BPW.1,NPA.1,NPW.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,BPC.2,BPW.2,NPA.2,NPW.2
Fernando Verdasco,Ivan Dodig,0,2,3,59,58,41,23,5,14,6,17,15,22,57,60,43,34,10,5,6,9,22,41
Rhyne Williams,Nikolay Davydenko,0,2,3,55,56,45,26,11,9,6,12,,,57,57,43,28,7,6,8,14,,
Ryan Harrison,Rafael Nadal,0,0,3,62,41,38,10,11,2,0,2,12,21,72,42,28,11,3,5,5,7,25,31
Novak Djokovic,Ricardas Berankis,1,3,0,68,36,32,14,10,1,7,14,15,23,53,18,47,9,3,4,1,8,7,15
Benjamin Becker,Lukas Rosol,1,3,1,52,38,48,27,8,5,8,17,,,47,44,53,27,18,14,5,12,,
Lukasz Kubot,Jarkko Nieminen,0,0,3,38,28,62,27,5,14,4,8,,,59,38,41,19,6,3,7,11,,
Joao Sousa,Grigor Dimitrov,1,3,2,58,61,42,27,5,2,8,11,,,58,53,42,27,13,7,6,14,,
Tommy Haas,Paul-Henri Mathieu,1,3,0,59,38,41,15,14,5,6,8,5,5,56,29,44,16,7,8,1,3,8,20
Yen-Hsun Lu,Daniel Gimeno-Traver,1,3,0,67,49,33,19,4,4,3,9,,,56,45,44,22,14,4,1,2,,
Donald Young,Martin Klizan,1,3,0,74,39,26,10,3,7,8,13,9,15,47,10,53,10,4,5,0,9,8,20
Florian Mayer,Juan Monaco,1,3,0,65,34,35,15,5,1,5,8,,,63,20,37,11,1,5,0,3,,
Tobias Kamke,Steve Johnson,1,3,1,53,55,47,39,10,7,4,15,14,24,48,56,52,40,12,10,1,5,24,40
Denis Istomin,Nicolas Almagro,1,3,1,64,50,36,23,13,2,7,11,,,64,36,36,14,7,5,3,9,,
Julien Benneteau,Michal Przysiezny,1,3,1,61,49,39,25,7,6,6,11,,,58,52,42,27,14,2,4,6,,
Sergiy Stakhovsky,Jeremy Chardy,0,2,3,53,62,47,33,7,9,3,14,,,56,64,44,40,8,7,6,11,,
Jiri Vesely,Denis Kudla,0,1,3,55,50,45,30,10,8,2,5,,,63,56,37,27,7,5,7,17,,
Paolo Lorenzi,Tomas Berdych,0,0,3,48,27,52,11,2,6,2,4,9,20,56,34,44,12,10,3,8,15,21,28
Pablo Andujar,Thiemo de Bakker,1,3,0,60,44,40,19,5,3,5,9,,,52,33,48,19,9,4,2,7,,
Thomas Fabbiano,Milos Raonic,0,0,3,66,46,34,17,0,7,1,5,13,15,63,51,37,19,28,4,3,12,12,20
Jerzy Janowicz,Maximo Gonzalez,0,0,3,58,40,42,17,3,11,2,10,16,25,65,45,35,13,9,4,6,16,12,20
Jack Sock,Philipp Petzschner,1,2,1,51,36,49,29,6,8,3,8,13,23,46,29,54,27,10,5,3,8,13,21
Roger Federer,Grega Zemlja,1,3,0,60,41,40,21,12,2,5,11,20,21,49,29,51,18,9,9,1,3,5,13
Santiago Giraldo,Carlos Berlocq,0,2,3,58,63,42,30,9,6,6,9,18,29,64,61,36,30,5,7,9,22,18,28
Horacio Zeballos,Adrian Mannarino,0,1,3,52,44,48,29,8,7,1,6,,,57,47,43,30,11,7,6,13,,
Guido Pella,Sam Querrey,0,1,3,56,54,44,31,6,9,1,7,19,28,58,60,42,26,24,4,4,18,16,24
John Isner,Filippo Volandri,1,3,0,73,42,27,11,16,3,6,7,12,17,56,18,44,10,1,5,0,2,5,10
Adrian Ungur,Gael Monfils,0,0,3,56,18,44,8,1,7,1,1,6,14,84,33,16,4,5,1,9,13,8,12
Albert Montanes,Edouard Roger-Vasselin,0,0,3,51,29,49,20,4,8,0,0,,,64,38,36,18,10,1,4,11,,
Collin Altamirano,Philipp Kohlschreiber,0,0,3,58,27,42,8,3,3,0,0,4,4,58,31,42,16,10,4,7,12,16,17
Rogerio Dutra Silva,Vasek Pospisil,1,3,2,58,64,42,39,3,3,6,16,,,48,66,52,46,21,15,7,18,,
Benoit Paire,Alex Bogomolov Jr.,0,2,3,51,72,49,40,29,11,6,23,36,49,64,82,36,33,2,6,5,12,21,42
Tim Smyczek,James Duckworth,1,3,1,66,47,34,21,4,2,7,17,24,36,55,47,45,26,8,5,3,7,22,39
Jurgen Zopp,Marcel Granollers,0,2,3,51,46,49,27,5,9,6,10,,,52,43,48,27,13,9,8,16,,
Rajeev Ram,Fabio Fognini,1,3,0,73,40,27,10,8,1,7,16,20,27,54,21,46,13,3,7,1,3,8,15
David Goffin,Alexandr Dolgopolov,0,0,3,67,44,33,14,7,8,2,8,,,45,34,55,27,6,4,6,21,,
Nicolas Mahut,Mikhail Youzhny,0,0,3,63,50,37,22,6,5,1,3,,,64,50,36,20,8,3,3,11,,
Jurgen Melzer,Evgeny Donskoy,0,0,3,65,39,35,17,4,2,3,10,,,57,48,43,27,5,1,4,10,,
Igor Sijsling,Peter Gojowczyk,0,1,3,55,49,45,24,13,3,4,9,,,51,40,49,29,8,6,6,11,,
Lleyton Hewitt,Brian Baker,1,3,1,46,38,54,29,8,7,10,19,14,27,49,32,51,28,14,10,7,12,12,25
Guillermo Garcia-Lopez,Juan Martin Del Potro,0,1,3,48,57,52,45,13,3,1,4,22,32,62,62,38,31,13,4,4,13,26,29
Andy Murray,Michael Llodra,1,3,0,67,36,33,15,3,0,6,8,19,26,63,31,37,12,2,6,1,2,33,60
Victor Hanescu,Leonardo Mayer,0,1,3,67,72,33,29,5,1,3,13,,,57,60,43,37,8,8,3,14,,
Andreas Seppi,Xavier Malisse,1,3,1,59,62,41,24,12,4,5,10,,,46,41,54,36,14,5,4,9,,
Lukas Lacko,Somdev Devvarman,0,2,3,50,48,50,29,11,6,5,12,10,16,56,60,44,31,5,3,8,12,27,29
Stanislas Wawrinka,Radek Stepanek,1,3,0,51,32,49,27,7,2,6,13,11,18,66,37,34,16,1,3,3,7,37,64
James Blake,Ivo Karlovic,0,2,3,64,82,36,36,9,6,4,11,35,46,63,90,37,29,38,8,3,11,48,81
Marcos Baghdatis,Go Soeda,1,3,0,60,34,40,20,16,3,5,10,5,8,54,30,46,15,0,5,0,1,10,15
Daniel Brands,Kevin Anderson,0,1,3,59,58,41,20,10,6,1,6,16,27,53,50,47,35,20,6,4,15,21,27
Richard Gasquet,Stephane Robert,1,3,0,58,50,42,22,8,6,6,12,14,23,53,35,47,19,8,5,3,10,20,29
Guillaume Rufin,Dmitry Tursunov,0,0,2,43,14,57,12,4,1,1,8,,,58,24,42,13,3,3,1,2,,
Feliciano Lopez,Bradley Klahn,1,3,1,52,59,48,38,23,10,4,9,19,29,71,69,29,18,17,3,3,9,24,39
Pablo Andujar,Milos Raonic,0,0,3,64,32,36,17,2,5,1,7,10,19,63,44,37,12,9,2,6,18,33,56
Maximo Gonzalez,Jack Sock,0,1,3,68,51,32,17,3,4,4,10,14,25,62,54,38,25,7,9,4,7,22,28
Dudi Sela,Janko Tipsarevic,0,0,3,62,30,38,10,1,7,2,13,,,44,32,56,31,3,3,7,11,,
Andreas Haider-Maurer,Mikhail Kukushkin,0,0,3,60,45,40,17,7,5,0,5,,,57,42,43,29,7,0,3,3,,
Roberto Bautista Agut,David Ferrer,0,1,3,62,42,38,20,2,5,3,8,21,24,59,48,41,29,10,3,8,16,19,29
Roger Federer,Carlos Berlocq,1,3,0,52,27,48,22,6,2,7,13,28,40,84,36,16,2,1,2,1,3,7,17
Adrian Mannarino,Sam Querrey,1,3,1,55,68,45,41,13,3,2,6,28,45,58,77,42,34,25,7,1,8,15,24
Tommy Robredo,Frank Dancevic,1,3,0,64,39,36,12,9,3,7,11,9,15,65,34,35,10,4,3,2,10,23,43
Bernard Tomic,Daniel Evans,0,1,3,62,47,38,23,8,2,6,11,18,25,56,43,44,27,9,7,6,15,32,40
John Isner,Gael Monfils,1,3,1,70,71,30,21,23,2,3,9,37,63,83,74,17,11,7,3,1,7,9,16
Edouard Roger-Vasselin,Philipp Kohlschreiber,0,1,3,61,48,39,25,3,3,3,3,25,41,58,44,42,26,13,2,7,23,14,20
Ivan Dodig,Nikolay Davydenko,1,3,0,66,45,34,14,16,0,5,10,,,51,25,49,18,2,4,1,6,,
Rogerio Dutra Silva,Rafael Nadal,0,0,3,58,21,42,12,2,5,0,1,4,12,69,30,31,11,3,0,8,14,9,10
Novak Djokovic,Benjamin Becker,1,3,0,74,48,26,11,13,2,5,14,15,22,59,33,41,19,6,4,1,1,6,10
Jarkko Nieminen,Joao Sousa,0,2,3,64,65,36,25,9,9,5,12,,,63,66,37,23,6,3,4,11,,
Alex Bogomolov Jr.,Tim Smyczek,0,2,3,69,87,31,30,8,9,6,14,24,33,63,73,37,26,21,3,5,16,28,44
Marcel Granollers,Rajeev Ram,1,3,2,62,63,38,28,14,4,6,11,25,42,66,66,34,22,11,2,4,10,45,79
Tommy Haas,Yen-Hsun Lu,1,3,0,60,51,40,20,15,9,6,10,15,20,68,44,32,13,4,5,4,13,11,23
Alexandr Dolgopolov,Mikhail Youzhny,0,0,3,53,35,47,19,10,4,2,9,,,52,33,48,23,8,3,7,19,,
Evgeny Donskoy,Peter Gojowczyk,1,3,2,55,63,45,34,9,2,5,17,,,55,67,45,30,15,8,4,10,,
Lleyton Hewitt,Juan Martin Del Potro,1,3,2,50,56,50,38,10,7,8,18,32,50,57,57,43,39,11,8,6,11,21,36
Andy Murray,Leonardo Mayer,1,3,1,57,41,43,35,5,3,5,9,17,26,63,40,37,16,6,5,1,9,29,50
Donald Young,Florian Mayer,0,0,3,62,42,38,20,5,8,3,13,31,54,57,48,43,21,10,6,7,21,18,26
Andreas Seppi,Somdev Devvarman,1,3,0,52,48,48,27,5,7,7,13,23,33,56,41,44,24,7,4,5,18,13,22
Tobias Kamke,Denis Istomin,0,0,3,46,19,54,23,3,5,2,2,,,46,24,54,21,6,3,7,13,,
Stanislas Wawrinka,Ivo Karlovic,1,3,0,60,51,40,25,9,5,3,7,25,36,63,52,37,21,12,6,1,2,37,59
Marcos Baghdatis,Kevin Anderson,1,3,0,43,24,57,24,10,6,6,12,6,8,64,27,36,11,7,4,0,0,4,14
Julien Benneteau,Jeremy Chardy,1,3,0,58,39,42,18,9,2,7,12,14,21,57,29,43,13,11,9,3,9,12,22
Denis Kudla,Tomas Berdych,0,0,3,60,49,40,26,1,6,4,14,12,15,57,49,43,28,11,3,5,15,12,24
Richard Gasquet,Dmitry Tursunov,1,3,1,64,42,36,21,14,4,4,11,14,25,53,46,47,24,25,4,3,7,12,21
Feliciano Lopez,Milos Raonic,0,1,3,59,56,41,29,7,8,0,4,17,27,67,66,33,19,28,6,4,8,23,38
Jack Sock,Janko Tipsarevic,0,1,3,46,35,54,27,19,8,2,6,12,17,56,46,44,33,18,2,4,8,14,19
Mikhail Kukushkin,David Ferrer,0,1,3,51,50,49,27,4,3,6,8,15,27,60,47,40,20,7,2,8,26,15,19
Roger Federer,Adrian Mannarino,1,3,0,57,36,43,15,8,4,6,14,19,24,65,27,35,9,1,0,0,1,9,18
Tommy Robredo,Daniel Evans,1,3,1,60,58,40,25,11,5,7,14,22,37,62,65,38,23,8,8,4,11,41,66
John Isner,Philipp Kohlschreiber,0,1,3,74,72,26,14,26,5,2,7,18,31,73,73,27,20,6,1,3,4,15,18
Ivan Dodig,Rafael Nadal,0,0,3,52,28,48,18,6,1,0,2,13,27,65,41,35,20,3,2,4,7,14,17
Novak Djokovic,Joao Sousa,1,3,0,68,30,32,12,3,2,8,13,22,30,59,30,41,10,2,3,1,2,10,21
Tim Smyczek,Marcel Granollers,0,2,3,61,63,39,26,10,3,7,16,39,55,59,66,41,28,10,3,6,12,25,43
Tommy Haas,Mikhail Youzhny,0,1,3,50,37,50,22,5,1,4,9,25,41,57,43,43,21,9,6,7,12,12,21
Evgeny Donskoy,Lleyton Hewitt,0,1,3,58,55,42,17,13,2,1,7,6,14,52,49,48,37,11,2,4,7,24,31
Andy Murray,Florian Mayer,1,3,0,51,37,49,25,7,2,4,10,8,12,62,40,38,15,0,2,0,2,21,39
Andreas Seppi,Denis Istomin,0,2,3,61,55,39,23,10,5,5,19,14,24,65,65,35,23,24,6,6,8,17,27
Stanislas Wawrinka,Marcos Baghdatis,1,3,1,52,55,48,37,11,5,5,15,25,30,47,50,53,43,16,8,2,9,25,37
Julien Benneteau,Tomas Berdych,0,0,3,52,25,48,12,5,6,0,3,13,20,58,39,42,14,11,1,6,14,13,17
Richard Gasquet,Milos Raonic,1,3,2,59,81,41,45,6,9,5,21,31,44,56,83,44,46,39,11,6,22,47,69
Janko Tipsarevic,David Ferrer,0,1,3,59,68,41,34,8,5,5,14,29,48,65,68,35,23,13,4,5,16,33,42
Roger Federer,Tommy Robredo,0,0,3,60,38,40,16,5,0,2,16,32,52,70,61,30,17,6,4,4,7,11,17
Philipp Kohlschreiber,Rafael Nadal,0,1,3,63,58,37,26,12,1,0,1,22,34,66,54,34,26,3,0,5,21,23,31
Mikhail Youzhny,Lleyton Hewitt,1,3,2,59,55,41,29,9,6,10,14,26,37,52,48,48,37,8,9,8,12,39,67
Andy Murray,Denis Istomin,1,3,1,63,58,37,23,5,5,6,15,32,38,69,55,31,20,4,2,2,4,19,37
Stanislas Wawrinka,Tomas Berdych,1,3,1,58,55,42,27,14,6,6,11,11,15,58,51,42,19,3,3,3,6,29,42
Richard Gasquet,David Ferrer,1,3,2,59,57,41,31,6,3,6,14,30,45,63,53,37,29,5,3,4,15,38,53
Tommy Robredo,Rafael Nadal,0,0,3,52,20,48,9,3,4,0,0,7,15,61,31,39,14,2,0,7,10,15,16
Novak Djokovic,Mikhail Youzhny,1,3,1,68,49,32,19,5,1,7,12,27,39,56,29,44,23,2,4,2,10,10,21
Andy Murray,Stanislas Wawrinka,0,0,3,63,37,37,22,5,4,0,0,10,22,55,37,45,20,4,4,4,11,31,42
Novak Djokovic,Stanislas Wawrinka,1,3,2,67,64,33,25,9,6,4,19,29,40,50,68,50,48,8,7,5,9,26,41
Richard Gasquet,Rafael Nadal,0,0,3,64,41,36,15,6,4,1,6,24,35,71,51,29,16,3,1,4,4,22,28
Novak Djokovic,Rafael Nadal,0,1,3,68,40,32,16,6,2,3,11,22,36,64,51,36,24,1,1,7,12,17,23
