SalePrice,YearBuilt,YrSold,Age,BasementArea,LivingArea,TotalRoom,GarageCars,Garage
178400,1961,2008,47,944,999,6,2,L
176000,1968,2008,40,832,1978,9,2,L
168500,1964,2008,44,1248,1350,6,2,L
140000,1961,2008,47,1114,1114,5,2,L
142000,1959,2008,49,1252,1252,7,2,L
140000,1962,2008,46,931,1283,6,2,L
166000,1957,2008,51,1392,1392,6,2,L
130000,1953,2008,55,984,950,5,2,L
116000,1953,2008,55,105,910,5,2,L
120000,1915,2008,93,880,1308,6,2,L
134432,1959,2008,49,0,1588,7,2,L
130000,1967,2008,41,894,894,5,2,L
155000,1994,2008,14,990,990,5,2,L
147000,1978,2008,30,940,1026,5,2,L
189000,2005,2008,3,728,1456,7,2,L
149000,2004,2008,4,848,848,3,2,L
144500,2004,2008,4,848,848,4,2,L
116500,1980,2008,28,516,1032,5,2,L
138000,1982,2008,26,816,816,4,2,L
387000,2004,2008,4,1884,1884,7,3,L
385000,2007,2008,1,2078,2084,7,3,L
370000,2003,2008,5,1765,2690,9,3,L
475000,2008,2008,0,2271,2276,7,3,L
395039,2008,2008,0,1751,1766,8,3,L
185000,1997,2008,11,1838,1838,8,3,L
103200,1956,2007,51,882,882,4,0,N
200500,1946,2007,61,1598,3086,12,0,N
123600,1994,2007,13,990,990,5,0,N
115000,1919,2007,88,793,1517,7,0,N
139000,1971,2007,36,372,1109,5,1,S
143000,1967,2007,40,1214,1214,5,1,S
147000,1964,2007,43,1130,1374,7,1,S
120000,1960,2007,47,1144,1144,6,1,S
135000,1956,2007,51,1048,1048,6,1,S
156000,1953,2007,54,1216,1728,7,1,S
152000,1959,2007,48,1040,1040,6,1,S
117000,1901,2007,106,969,1214,6,1,S
141000,1937,2007,70,780,1375,6,1,S
212300,1950,2007,57,976,1952,8,1,S
101000,1920,2007,87,530,1111,6,1,S
109900,1946,2007,61,484,1242,4,1,S
130000,1984,2007,23,1038,1038,5,1,S
94750,1965,2007,42,960,960,6,1,S
139000,1983,2007,24,816,816,4,1,S
268000,1970,2007,37,2217,2217,8,2,L
160000,1994,2007,13,392,1694,7,2,L
168165,2006,2007,1,608,1458,6,2,L
171925,2006,2007,1,738,1495,7,2,L
211000,2003,2007,4,847,1948,8,2,L
185000,1999,2007,8,941,1644,7,2,L
260000,2005,2007,2,1538,1538,7,2,L
210400,2006,2007,1,1335,1335,6,2,L
136905,1976,2007,31,1680,1680,8,2,L
163500,1966,2007,41,1174,1200,6,2,L
150750,1959,2007,48,1063,1327,7,2,L
163500,1970,2007,37,1657,1657,7,2,L
135000,1949,2007,58,845,893,4,2,L
137000,1900,2007,107,1075,1798,7,2,L
114000,1910,2007,97,616,1232,6,2,L
195400,2007,2007,0,1208,1208,6,2,L
211000,1998,2007,9,794,1796,7,2,L
153500,1976,2007,31,1015,1025,6,2,L
160000,1977,2007,30,995,1009,6,2,L
122000,1975,2007,32,969,969,5,2,L
127000,1972,2007,35,864,864,5,2,L
157000,2005,2007,2,1090,1090,5,2,L
267300,2006,2007,1,1546,1564,6,2,L
280000,2006,2007,1,1063,2172,9,3,L
252000,1998,2007,9,1066,2385,8,3,L
419005,2007,2007,0,1966,1966,6,3,L
93000,1954,2006,52,0,1124,5,0,N
81000,1910,2006,96,658,1184,8,0,N
132000,1992,2006,14,912,970,6,0,N
124400,1966,2006,40,1051,1051,6,1,S
158000,1967,2006,39,1141,1141,6,1,S
134450,1957,2006,49,1070,1236,6,1,S
61500,1921,2006,85,492,492,3,1,S
64000,1920,2006,86,798,840,5,1,S
125000,1923,2006,83,1200,1200,7,1,S
75000,1930,2006,76,728,1162,6,1,S
250000,2005,2006,1,1074,2064,7,2,L
165600,1993,2006,13,697,1501,6,2,L
294323,2005,2006,1,960,2318,8,2,L
155000,1974,2006,32,1103,1103,6,2,L
225000,2004,2006,2,1365,1548,7,2,L
215000,2000,2006,6,982,1889,9,2,L
197000,2006,2006,0,770,1576,6,2,L
186800,2005,2006,1,1400,1400,6,2,L
119500,1977,2006,29,0,1654,10,2,L
176400,2004,2006,2,1143,1143,5,2,L
151000,2005,2006,1,600,1200,4,2,L
149900,2005,2006,1,600,1223,4,2,L
214000,1980,2006,26,1235,1235,4,2,L
140000,1969,2006,37,1164,1164,6,2,L
157500,1964,2006,42,720,1440,7,2,L
172000,1964,2006,42,1246,1246,6,2,L
132500,1962,2006,44,1106,1190,6,2,L
127000,1947,2006,59,784,1312,6,2,L
87500,1949,2006,57,0,1040,6,2,L
156500,1977,2006,29,1967,1967,10,2,L
145000,1996,2006,10,1100,1100,5,2,L
193000,1998,2006,8,1425,1425,5,2,L
207000,2003,2006,3,1390,1390,7,2,L
173900,2005,2006,1,750,1500,6,2,L
92000,1915,2006,91,832,1338,7,2,L
210000,1930,2006,76,697,1801,8,2,L
293000,2006,2006,0,1721,1740,8,3,L
360000,2003,2006,3,1896,1944,8,3,L
219210,2006,2006,0,879,1863,9,3,L
246578,2006,2006,0,1356,1500,6,3,L
212900,2005,2006,1,1552,1552,7,3,L
140000,1915,2006,91,756,1717,7,3,L
